Status,#,Source Name,Full Name,URL,API URL,API Type,API Docs,Country/Region,Has Qualitative Data,Files Downloadable,Auth for Search,Auth for Download,Licensing,Qualitative Data Found,Notes
Implemented,1,QDR (Syracuse),Qualitative Data Repository,https://data.qdr.syr.edu,https://data.qdr.syr.edu/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,USA,Yes,Yes (open + restricted),None,None for open files; restricted return 403,Standard Access (treated as open),,Only dedicated qualitative data repository; confirmed QDPX files
Implemented,2,DANS,Data Archiving and Networked Services (DANS-KNAW),https://ssh.datastations.nl,https://ssh.datastations.nl/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Netherlands,Yes,Yes,None,None,Varies (CC common),,Recognizes REFI-QDA as preferred format; migrated from EASY archive
Implemented,3,DataverseNO,DataverseNO (Norwegian research data archive),https://dataverse.no,https://dataverse.no/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Norway,Yes,Yes,None,None,Varies,,Smaller volume of qualitative data
Implemented,4,Zenodo,Zenodo (CERN Open Research Repository),https://zenodo.org,https://zenodo.org/api/,Custom REST API,https://developers.zenodo.org/,International (CERN),Yes,Yes,None,None,Varies (SPDX),,Broad coverage; most results are quantitative
Skipped,5,Dryad,Dryad Digital Repository,https://datadryad.org,https://datadryad.org/api/v2/,Custom REST API v2,https://github.com/datadryad/dryad-app/blob/main/documentation/apis,USA,Yes,No (AWS WAF blocks),None,Blocked by AWS WAF,CC0,,Downloads fully blocked by AWS WAF; connector removed
Implemented,6,UK Data Service,UK Data Service — ReShare Repository,https://reshare.ukdataservice.ac.uk,https://reshare.ukdataservice.ac.uk/cgi/,EPrints JSON API,https://wiki.eprints.org/w/API:EPrints/Apache/REST,UK,Yes,Yes (public files only),None,None for public; restricted files have staffonly/validuser,CC BY / CC BY-SA / UKDA EUL,,Discovered JSON API; large files (video/audio 300+ MB)
Skipped,7,QualidataNet,QualidataNet (KonsortSWD / RDC Qualiservice),https://www.qualidatanet.com,https://www.qualidatanet.com/es/qualidatanet/dataset/_search,Elasticsearch API,,Germany,Yes,No (partner registration required),None,N/A,Varies,,Metadata-only portal; no partner allows unrestricted file downloads
Skipped,8,Qualiservice,Qualiservice — Research Data Center for Qualitative Social Science Data,https://www.qualiservice.org,,None,,Germany,Yes,No (formal contract required),None,Formal contract,Varies,,Formal contract required for data access; metadata in QualidataNet
Skipped,9,QualiBi,QualiBi — Qualitative Data in Educational Research,,,None,,Germany,Yes,No,N/A,N/A,All rights reserved,,No public portal; 5 records in QualidataNet with All Rights Reserved licensing
Implemented,10,Harvard Dataverse,Harvard Dataverse,https://dataverse.harvard.edu,https://dataverse.harvard.edu/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,USA,Yes,Yes (partial — some restricted),None,None for unrestricted,Varies (CC common),,Largest Dataverse installation; harvested datasets excluded via fq=-isHarvested:true
Optional,11a,DataverseLV (Latvia),DataverseLV (Latvian national),https://dv.dataverse.lv,https://dv.dataverse.lv/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Latvia,Yes,Yes,None,Standard Dataverse,Varies,,Zero new code
Implemented,11b,RepOD (Poland),RepOD — Polish research data repository,https://repod.icm.edu.pl,https://repod.icm.edu.pl/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Poland,Yes,Yes,None,Standard Dataverse,Varies,,Uses DataverseConnector
Implemented,11c,KU Leuven (Belgium),KU Leuven Research Data Repository,https://rdr.kuleuven.be,https://rdr.kuleuven.be/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Belgium,Yes,Yes,None,Standard Dataverse,Varies,,Uses DataverseConnector
Optional,11d,CROSSDA (Croatia),CROSSDA — Croatian Social Science Data Archive,https://data.crossda.hr,https://data.crossda.hr/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Croatia,Yes,Yes,None,Standard Dataverse,Varies,,Zero new code
Implemented,11e,HeiDATA (Heidelberg),HeiDATA — Heidelberg University,https://heidata.uni-heidelberg.de,https://heidata.uni-heidelberg.de/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Germany,Yes,Yes,None,Standard Dataverse,Varies,,Uses DataverseConnector
Optional,11f,DaRUS (Stuttgart),DaRUS — University of Stuttgart,https://darus.uni-stuttgart.de,https://darus.uni-stuttgart.de/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Germany,Maybe,Yes,None,Standard Dataverse,Varies,,Mostly STEM; zero new code
Optional,11g,RSU (Latvia),RSU — Riga Stradins University,https://dataverse.rsu.lv,https://dataverse.rsu.lv/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Latvia,Yes,Yes,None,Standard Dataverse,Varies,,Zero new code
Implemented,11h,ACSS (Arab Council),ACSS — Arab Council for Social Sciences,https://dataverse.theacss.org,https://dataverse.theacss.org/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Middle East/North Africa,Yes,Yes,None,Standard Dataverse,Varies,,MENA focus; uses DataverseConnector
Implemented,11i,bonndata (Bonn),bonndata — University of Bonn,https://bonndata.uni-bonn.de,https://bonndata.uni-bonn.de/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Germany,Yes,Yes,None,Standard Dataverse,Varies,,Uses DataverseConnector
Implemented,11j,SODHA (Belgium),SODHA — Social Sciences and Digital Humanities Archive,https://www.sodha.be,https://www.sodha.be/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Belgium,Yes,Yes,None,Standard Dataverse,Varies,,Digital humanities; 170 datasets; uses DataverseConnector
Optional,11k,UVA (Virginia),UVA Libra Data,https://dataverse.lib.virginia.edu,https://dataverse.lib.virginia.edu/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,USA,Yes,Yes,None,Standard Dataverse,Varies,,Zero new code
Optional,11l,NYCU (Taiwan),NYCU — National Yang Ming Chiao Tung University,https://dataverse.lib.nycu.edu.tw,https://dataverse.lib.nycu.edu.tw/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Taiwan,Yes,Yes,None,Standard Dataverse,Varies,,Zero new code
Optional,11m,PUCP (Peru),PUCP — Pontificia Universidad Católica del Perú,https://datos.pucp.edu.pe,https://datos.pucp.edu.pe/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Peru,Yes,Yes,None,Standard Dataverse,Varies,,Zero new code
Implemented,11n,UCLouvain (Belgium),UCLouvain Dataverse,https://dataverse.uclouvain.be,https://dataverse.uclouvain.be/api/,Dataverse API,https://guides.dataverse.org/en/latest/api/index.html,Belgium,Yes,Yes,None,Standard Dataverse,Varies,,Uses DataverseConnector
Skipped,12,Mendeley Data,Mendeley Data (Elsevier),https://data.mendeley.com,,REST API,https://data.mendeley.com/api/docs/,International,Maybe,Yes,None,None,CC BY 4.0,,Poor qualitative relevance; mostly quantitative results
Skipped,13,ADA Australia,Australian Data Archive,https://ada.edu.au,https://dataverse.ada.edu.au/api/,Dataverse API (blocked),https://guides.dataverse.org/en/latest/api/index.html,Australia,Yes,Unknown,Blocked by Anubis,Blocked by Anubis,Varies,,Has dedicated Qualitative sub-archive but anti-bot blocks API
Skipped,14,Texas Dataverse,Texas Data Repository,https://dataverse.tdl.org,,Dataverse API (down),https://guides.dataverse.org/en/latest/api/index.html,USA,Unknown,Unknown,Unknown,Unknown,Unknown,,Server down (connection refused); auth required when operational
Skipped,15,UNC Dataverse,UNC Dataverse,https://dataverse.unc.edu,,Dataverse API (auth required),https://guides.dataverse.org/en/latest/api/index.html,USA,Unknown,Unknown,Auth required,Auth required,Unknown,,Search API requires authentication unlike other installations
Skipped,16,Oral History Online,Oral History Online (Alexander Street / Clarivate),https://search.alexanderstreet.com/orhi,,None,,International,Yes,No (subscription),N/A,Subscription,Proprietary,,Subscription-based commercial platform
Skipped,17,StoryCorps,StoryCorps Archive,https://archive.storycorps.org,,None,,USA,Yes,No,N/A,N/A,Unclear,,No API; returns HTTP 403 on programmatic access
Skipped,18,Fortunoff Archive,Fortunoff Video Archive for Holocaust Testimonies (Yale),https://fortunoff.library.yale.edu,,None,,USA,Yes,No (institutional only),N/A,Institutional affiliation,Unknown,,Requires physical presence at Yale or institutional affiliation
Skipped,19,USC Shoah Foundation,USC Shoah Foundation Visual History Archive,https://vha.usc.edu,,None,,USA,Yes,No (institutional),N/A,Institutional access,Not CC,,No public API; 4430 full testimonies after free registration
Skipped,20,CLARIN,CLARIN — European Language Infrastructure,https://www.clarin.eu,,OAI-PMH (federated),https://www.clarin.eu/content/oai-pmh,Europe,Yes,Partial,None (metadata),Varies by centre,Varies by centre,,Too complex; 20+ national centres with different backends
Skipped,21,TalkBank/CHILDES,TalkBank / CHILDES,https://talkbank.org,,Python API (TBDBpy),https://github.com/TalkBank/TBDBpy,International,Yes,Yes (after registration),None,Free registration,Open for research,,CHAT format; language acquisition focus not social science
Skipped,22,LDC,Linguistic Data Consortium (University of Pennsylvania),https://www.ldc.upenn.edu,,None,,USA,Yes,No (paid),N/A,Institutional membership,Proprietary,,Paid/proprietary licensing; not CC or open
Skipped,23,HRAF/eHRAF,Human Relations Area Files / eHRAF World Cultures (Yale),https://hraf.yale.edu,,None,,USA,Yes,No (subscription),N/A,Institutional subscription,Proprietary,,Subscription-only institutional access
Skipped,24,beQuali (France),beQuali — Archive of qualitative social science surveys,https://bequali.fr,,None,,France,Yes,No (restricted),N/A,Registration required,Academic use,,Restricted access; being migrated to data.sciencespo
Skipped,25,IQDA (Ireland),Irish Qualitative Data Archive,https://www.maynoothuniversity.ie/iqda,,None,,Ireland,Yes,No (restricted),N/A,Researcher application,Restricted use,,Most data restricted; disseminated through DRI
Skipped,26,Databrary,Databrary — Video Data Library for Developmental Science,https://databrary.org,,Restricted API,,USA,Yes,No (IRB required),N/A,IRB + PI status,Restricted,,IRB approval and PI status required
Skipped,27,KOSSDA (Korea),Korean Social Science Data Archive,https://kossda.snu.ac.kr,,None,,South Korea,Yes,No (registration),N/A,Registration,Academic use,,No API; Korean interface; licensing unclear
